timestamp,tweets_count,usernames_count,likes_sum,replies_sum,retweets_sum,compound_score_sum,positive_score_sum,negative_score_sum,neutral_score_sum,likes_mean,replies_mean,retweets_mean,compound_score_mean,positive_score_mean,negative_score_mean,neutral_score_mean
1609459200,14,14,390,7,1,2.4731,2.452,1.363,14.185,21.666666666666668,0.3888888888888889,0.05555555555555555,0.13739444444444446,0.13622222222222222,0.07572222222222222,0.7880555555555556
1609462800,25,25,34,8,1,4.7231000000000005,3.607,0.769,24.624,1.1724137931034482,0.27586206896551724,0.034482758620689655,0.16286551724137932,0.12437931034482759,0.026517241379310344,0.849103448275862
1609466400,24,24,56,10,71,5.5557,3.479,0.42700000000000005,22.094,2.1538461538461537,0.38461538461538464,2.730769230769231,0.21368076923076923,0.13380769230769232,0.016423076923076926,0.8497692307692308
1609470000,23,23,41,7,8,4.1285,2.573,0.746,22.681,1.5769230769230769,0.2692307692307692,0.3076923076923077,0.15878846153846154,0.09896153846153846,0.02869230769230769,0.8723461538461539
1609473600,39,39,47,8,19,5.9942,4.39,0.8140000000000001,37.796,1.0930232558139534,0.18604651162790697,0.4418604651162791,0.1394,0.10209302325581394,0.018930232558139536,0.8789767441860465
1609477200,32,32,279,27,65,9.1851,6.805,1.82,26.378,7.9714285714285715,0.7714285714285715,1.8571428571428572,0.2624314285714286,0.19442857142857142,0.052000000000000005,0.7536571428571429
1609480800,25,25,98,12,40,6.4902,3.39,0.0,23.61,3.6296296296296298,0.4444444444444444,1.4814814814814814,0.24037777777777777,0.12555555555555556,0.0,0.8744444444444445
1609484400,27,27,59,23,15,6.5873,5.405,0.44299999999999995,23.152,2.0344827586206895,0.7931034482758621,0.5172413793103449,0.22714827586206895,0.1863793103448276,0.015275862068965515,0.798344827586207
1609488000,19,19,33,8,16,6.1461,5.375,1.477,12.148,1.736842105263158,0.42105263157894735,0.8421052631578947,0.32347894736842103,0.28289473684210525,0.07773684210526316,0.6393684210526316
1609491600,17,17,14,8,0,2.6033999999999997,2.471,0.698,14.831,0.7777777777777778,0.4444444444444444,0.0,0.1446333333333333,0.13727777777777778,0.03877777777777777,0.8239444444444444
1609495200,19,19,34,31,18,3.9796000000000005,1.92,1.1849999999999998,16.895,1.7,1.55,0.9,0.19898000000000002,0.096,0.05924999999999999,0.84475
1609498800,15,15,25,7,8,5.4664,2.424,0.295,12.279,1.6666666666666667,0.4666666666666667,0.5333333333333333,0.3644266666666667,0.1616,0.019666666666666666,0.8186
1609502400,14,14,23,4,5,1.4229,1.103,1.493,15.405,1.2777777777777777,0.2222222222222222,0.2777777777777778,0.07905000000000001,0.06127777777777778,0.08294444444444445,0.8558333333333333
1609506000,22,22,63,24,12,4.3566,3.278,1.401,17.322,2.8636363636363638,1.0909090909090908,0.5454545454545454,0.19802727272727275,0.149,0.06368181818181819,0.7873636363636364
1609509600,19,19,107,37,105,4.9841,3.048,0.065,16.887,5.35,1.85,5.25,0.24920499999999998,0.1524,0.0032500000000000003,0.84435
1609513200,25,25,49,7,2,2.8952,1.933,0.8140000000000001,23.255,1.8846153846153846,0.2692307692307692,0.07692307692307693,0.11135384615384615,0.07434615384615385,0.03130769230769231,0.8944230769230769
1609516800,28,28,157,19,10,6.5494,3.549,0.33899999999999997,64.112,2.3088235294117645,0.27941176470588236,0.14705882352941177,0.09631470588235294,0.052191176470588234,0.004985294117647058,0.9428235294117646
1609520400,42,42,197,32,26,5.0385,4.933,2.801,40.267,4.104166666666667,0.6666666666666666,0.5416666666666666,0.10496875,0.10277083333333333,0.05835416666666667,0.8388958333333334
1609524000,30,30,168,28,19,4.9197,3.4859999999999998,1.308,77.204,2.048780487804878,0.34146341463414637,0.23170731707317074,0.05999634146341463,0.042512195121951216,0.015951219512195122,0.9415121951219512
1609527600,36,36,40,2,2,8.774000000000001,5.734,0.45699999999999996,36.808,0.9302325581395349,0.046511627906976744,0.046511627906976744,0.204046511627907,0.13334883720930232,0.010627906976744185,0.856
1609531200,46,46,649,31,26,7.7121,4.216,1.421,88.365,6.904255319148936,0.32978723404255317,0.2765957446808511,0.0820436170212766,0.044851063829787235,0.015117021276595746,0.9400531914893616
1609534800,48,48,116,25,15,8.8079,5.685,1.212,76.102,1.3975903614457832,0.30120481927710846,0.18072289156626506,0.10611927710843373,0.06849397590361446,0.014602409638554217,0.9168915662650603
1609538400,40,40,770,28,113,6.0184999999999995,3.634,0.622,50.745,14.0,0.509090909090909,2.0545454545454547,0.10942727272727272,0.06607272727272727,0.01130909090909091,0.9226363636363636
1609542000,28,28,62,11,5,3.7376,3.587,1.328,31.085,1.7222222222222223,0.3055555555555556,0.1388888888888889,0.10382222222222222,0.09963888888888889,0.03688888888888889,0.8634722222222222
1609545600,67,67,272,33,13,6.8216,8.157,5.269,58.575,3.7777777777777777,0.4583333333333333,0.18055555555555555,0.09474444444444445,0.11329166666666667,0.07318055555555555,0.8135416666666667
1609549200,57,57,334,42,184,3.6845,4.712,3.159,60.13,4.911764705882353,0.6176470588235294,2.7058823529411766,0.05418382352941176,0.06929411764705883,0.04645588235294117,0.884264705882353
1609552800,52,52,116,19,13,9.083,7.0600000000000005,2.521,55.417,1.7846153846153847,0.2923076923076923,0.2,0.13973846153846153,0.10861538461538463,0.03878461538461538,0.8525692307692307
1609556400,159,159,12622,353,960,21.6439,19.352,7.905,190.743,57.89908256880734,1.6192660550458715,4.4036697247706424,0.09928394495412843,0.08877064220183487,0.03626146788990826,0.8749678899082569
1609560000,218,218,761,104,44,33.5065,26.903,9.65,185.449,3.4279279279279278,0.46846846846846846,0.1981981981981982,0.1509301801801802,0.12118468468468468,0.04346846846846847,0.8353558558558559
1609563600,380,380,1255,164,132,56.0634,40.318,14.658,336.026,3.209718670076726,0.4194373401534527,0.3375959079283887,0.1433846547314578,0.10311508951406649,0.03748849104859335,0.8594015345268542
1609567200,168,168,1444,116,129,21.9943,19.794,9.919,159.286,7.64021164021164,0.6137566137566137,0.6825396825396826,0.11637195767195767,0.10473015873015873,0.05248148148148148,0.8427830687830687
1609570800,101,101,234,43,30,11.1438,9.6,4.559,97.839,2.0892857142857144,0.38392857142857145,0.26785714285714285,0.09949821428571429,0.08571428571428572,0.04070535714285715,0.8735625
1609574400,79,79,615,48,48,14.614799999999999,9.579,3.664,71.758,7.235294117647059,0.5647058823529412,0.5647058823529412,0.17193882352941176,0.11269411764705883,0.04310588235294118,0.8442117647058823
1609578000,62,62,1529,30,182,8.8523,6.676,2.063,61.261,21.84285714285714,0.42857142857142855,2.6,0.12646142857142856,0.09537142857142858,0.029471428571428575,0.8751571428571429
1609581600,53,53,256,62,141,7.6838999999999995,5.623,2.612,61.766,3.657142857142857,0.8857142857142857,2.0142857142857142,0.10976999999999999,0.08032857142857143,0.037314285714285716,0.8823714285714286
1609585200,69,69,107,15,20,9.6602,6.548,2.705,87.744,1.1030927835051547,0.15463917525773196,0.20618556701030927,0.09958969072164948,0.06750515463917525,0.027886597938144332,0.9045773195876289
1609588800,66,66,1882,70,434,7.741099999999999,8.965,4.507,68.527,22.951219512195124,0.8536585365853658,5.2926829268292686,0.09440365853658536,0.10932926829268293,0.054963414634146335,0.8356951219512195
1609592400,76,76,273,55,132,11.5492,7.431,3.031,85.535,2.84375,0.5729166666666666,1.375,0.12030416666666667,0.07740625,0.031572916666666666,0.8909895833333333
1609596000,105,105,510,54,47,8.9959,10.448,4.692,106.857,4.180327868852459,0.4426229508196721,0.38524590163934425,0.07373688524590165,0.08563934426229508,0.038459016393442624,0.8758770491803278
1609599600,191,191,839,84,99,36.9414,23.202,7.099,174.698,4.092682926829268,0.4097560975609756,0.48292682926829267,0.1802019512195122,0.11318048780487806,0.03462926829268293,0.8521853658536586
1609603200,554,554,1830,285,174,77.9295,54.665,21.403,493.937,3.210526315789474,0.5,0.30526315789473685,0.1367184210526316,0.09590350877192982,0.03754912280701754,0.8665561403508772
1609606800,342,342,765,143,173,53.2264,38.217,14.063,299.717,2.1732954545454546,0.40625,0.4914772727272727,0.15121136363636364,0.10857102272727272,0.03995170454545455,0.85146875
1609610400,602,602,1703,268,146,105.35510000000001,69.719,28.789,512.496,2.7872340425531914,0.4386252045826514,0.23895253682487724,0.17243060556464812,0.1141063829787234,0.04711783960720131,0.8387823240589197
1609614000,940,940,3932,496,315,126.85810000000001,101.448,51.875,801.676,4.117277486910995,0.5193717277486911,0.3298429319371728,0.13283570680628273,0.10622827225130889,0.05431937172774869,0.8394513089005236
1609617600,673,673,2965,351,284,99.4946,76.417,32.847,574.736,4.334795321637427,0.5131578947368421,0.4152046783625731,0.14545994152046784,0.11172076023391814,0.0480219298245614,0.8402573099415205
1609621200,375,375,1003,129,128,68.21809999999999,46.082,15.534,323.388,2.605194805194805,0.33506493506493507,0.33246753246753247,0.17718987012987011,0.11969350649350649,0.04034805194805195,0.8399688311688311
1609624800,323,323,1067,142,103,59.3372,38.609,14.592,272.796,3.273006134969325,0.43558282208588955,0.3159509202453988,0.18201595092024542,0.11843251533742331,0.04476073619631902,0.83679754601227
1609628400,283,283,693,121,49,54.3058,32.889,9.788,243.328,2.423076923076923,0.4230769230769231,0.17132867132867133,0.18988041958041957,0.1149965034965035,0.034223776223776224,0.8507972027972028
1609632000,182,182,1869,76,66,39.2496,21.825,7.475,157.698,9.994652406417112,0.40641711229946526,0.35294117647058826,0.2098909090909091,0.11671122994652407,0.03997326203208556,0.8433048128342246
1609635600,189,189,255,60,42,30.421,18.103,6.779,165.121,1.3421052631578947,0.3157894736842105,0.22105263157894736,0.16011052631578948,0.09527894736842106,0.03567894736842105,0.8690578947368421
1609639200,169,169,795,105,64,27.3553,16.265,6.0920000000000005,148.64,4.649122807017544,0.6140350877192983,0.3742690058479532,0.15997251461988304,0.09511695906432749,0.03562573099415205,0.8692397660818713
1609642800,133,133,497,67,48,19.8264,11.889,3.886,124.225,3.55,0.4785714285714286,0.34285714285714286,0.14161714285714286,0.08492142857142856,0.02775714285714286,0.8873214285714285
1609646400,139,139,531,71,48,27.279799999999998,16.181,6.313,124.506,3.6122448979591835,0.48299319727891155,0.32653061224489793,0.18557687074829932,0.11007482993197279,0.04294557823129252,0.8469795918367347
