timestamp,dogecoin_price,dogecoin_market_cap,dogecoin_volume,bitcoin_price,bitcoin_market_cap,bitcoin_volume
1609462800,0.0046532854334959154,593759332.3455178,125931232.82118016,29018.48965302439,539366289940.39886,37787298975.16558
1609466400,0.00473243419171013,606391509.6559157,120294400.44318104,29347.05538594715,544674283090.7321,38040194891.30727
1609470000,0.004756765921905287,606242511.0251386,117695286.35096559,29261.317587139503,543882831294.6975,39086868805.96785
1609473600,0.004929021426190432,629674189.2788078,125960877.19243538,29324.67836596399,545061462372.96844,38963002359.55586
1609477200,0.004889356950756446,623911507.5703616,133725927.74990723,29169.454062761637,542002960375.1619,38735815103.79297
1609480800,0.004886104690399564,625874317.9661944,134387940.40835276,29197.96020784826,542540942656.9412,36601667504.235245
1609491600,0.004896182313344842,625213009.4750255,133417208.80494344,29135.85657545741,541155934596.096,37018279769.65355
1609502400,0.004897548549659949,626137547.87882,135825127.85576582,29391.76472580144,546317016716.1268,37201729098.43028
1609506000,0.004959739658423981,631089222.7491949,140209849.3339255,29310.653572947653,544404250300.4579,38276966587.70918
1609509600,0.004952813608747134,633156426.3376757,139478242.9330662,29460.97892276348,547814266337.0288,36327546927.79146
1609513200,0.0049661662840278075,633413004.1257591,138453999.9463818,29345.062106938833,546305982775.0642,35240432786.30991
1609516800,0.0049298085491945,629843099.6054406,139066468.7603233,29265.03920060586,543761604597.0615,33706746948.63738
1609520400,0.004983714053639423,636612930.0556176,141017553.04802284,29348.24594983417,545931227790.75775,33483092483.880325
1609524000,0.005047607634513283,642410469.2147028,151475703.32093397,29269.970989745834,543896196472.35126,33510688400.999203
1609527600,0.005075616522856147,645478037.180109,158807864.52876934,29118.514971503246,538104931960.9989,33057619260.233517
1609534800,0.005243078332633556,669867130.852297,202829880.09959885,29263.09613350326,543935846732.9286,34714344928.60263
1609538400,0.005361067900492921,683273765.2212095,217769184.26044345,29253.385285359283,543380228773.8747,34561299418.63684
1609542000,0.005477295917626914,699791280.6934547,232562943.56600672,29304.080786717124,544687701518.35876,34353704843.835396
1609545600,0.005612367510910732,713465417.9832299,250098836.04479197,29234.635279494083,544371301401.1215,33958683192.18768
1609552800,0.005743339257366281,733781558.4210159,299193392.52796966,29391.199135361854,546423591298.4864,33343213659.59777
1609556400,0.006542454241811012,814895986.8916227,392769612.8605341,29361.690785171326,546454730229.5763,33204793848.94988
1609560000,0.006760313750435196,855935429.743137,473128030.9984306,29342.220924293473,544626293410.78796,32843230147.293354
1609563600,0.0073833186172483556,935709404.7235771,663305195.1893852,29382.12109993125,546318220626.96,32724186443.058292
1609567200,0.007129551008866432,927184793.7192092,693414400.0523286,29609.098285165015,551220338759.6062,33464495856.20143
1609570800,0.006834824485144875,901008131.3157141,714015048.4525886,29727.274074059726,551801051781.1736,33812534362.62957
1609574400,0.0070969643565576895,899447035.6478171,809786937.275944,29852.538819032132,555149721964.0693,34142880141.098175
1609578000,0.0067820178594721016,867522807.5085639,807298892.6463836,29849.708049449608,554854193846.6783,34037329348.54616
1609581600,0.00687145837096402,878008432.7078383,847414600.5504813,29798.83043739093,553923241368.6125,34327989012.980743
1609585200,0.0073241779081135265,933434698.7549964,931830993.4684612,29804.54737071613,554017149486.6196,34666850595.575836
1609588800,0.007096979131878251,909232386.440491,938878754.9311782,29870.00791434408,554563776282.3853,34253887318.857864
1609592400,0.006953504932770334,882534672.9227201,952409022.0077455,30616.630670235332,569114177550.6024,37425582275.88907
1609599600,0.0076556579487212974,978126871.4202856,1124750558.7663646,31295.72103293613,583600088292.8511,41732940827.59564
1609603200,0.008921897622035138,1178195915.8142679,1456201613.839526,32217.119517916322,596990005882.2911,42919758851.61119
1609610400,0.00995822883890651,1272424050.815818,1938191561.8767664,32711.28172105415,608054870589.2388,47541837719.3322
1609614000,0.011520569159483383,1403759709.076577,2406472000.0931425,32982.7937805335,613431829969.2671,49090589167.008026
1609617600,0.011718368261034938,1497327873.547331,2822029058.330626,33064.10147342428,616454076917.4923,48950362657.51684
1609621200,0.010483906866839263,1288883489.9126568,2747965863.879283,31710.007575131476,583487592370.3109,53341241461.607155
1609628400,0.010702318784498623,1367156212.5876358,3093024013.6420946,31985.94327590237,594579886549.8314,56357505897.71526
1609632000,0.010194721570119476,1340173529.6678636,3032388839.206659,32208.489017143685,597933862790.0436,57573911507.35157
1609635600,0.009515248659253685,1213097817.9244158,2898380174.87807,32484.23873972136,603844413907.1982,57914655416.38135
1609639200,0.009950490875369481,1271435323.696957,3067732401.378935,32669.95706953804,608870051519.4596,58772044560.27526
1609642800,0.009960323273601506,1271630371.8164847,3093401893.43088,32818.155611296446,610771987494.9349,58210151029.83003
1609646400,0.010971204758251111,1401822763.896192,3292132856.238597,32673.420095782833,606839919436.7731,59013627313.22096
1609650000,0.010959023195281987,1400301691.4658928,3192102324.0282774,33611.431863152255,624803310241.3196,61183033953.337975
1609653600,0.012219869736596455,1530668583.3048441,3506381712.469205,33972.16002395336,634041196934.3816,64356045396.678215
1609657200,0.012367670798787547,1580293246.070633,3571129967.047955,33918.29796049026,632256197023.0131,68122942332.54008
1609660800,0.012510922101408238,1584517483.400022,3588999264.0021825,34392.95141641195,634830009716.5173,67499237585.17189
1609664400,0.011934303317323479,1528533809.5117877,3497044530.5042877,34571.219246824374,642650202544.0516,67790754590.22124
1609668000,0.011689933852290939,1473257233.1117117,3465825410.774509,34345.51737983793,638456550315.2178,70730545633.0673
1609671600,0.011702391875215833,1503016559.1304445,3494983990.980881,33985.25501143137,633500777862.4249,71216144186.7519
